Guild Members; Alex; Alligume; Belette Manon; Ben; BobLeBot; Boby Leymard; Cine; Codex2151; DaleX; Dark Nash; DarkDigger; Daïdhara; Deadline; Din Djarin; Domotikator; El fifi; Fenwicks; Findeath; GuigzZ; Heavo24; Jaarael; Kaa76; Kaïpan; Kobalt; Korto Vos; Luffy saitama; Lumpouille; Malachor V; Mol Issou; Nightmarr; Nuke; Obi Dam Nabira; ObiWanPeace; ObiWanPeach; Obiwan18; Peldor Varga; Popi le terrible; Pouhpou; Revanche Gilder; Skicker; Snorlax; valkorion; Varr; Virance; Von Barbiche; Whills Wotan; Wébélu; Xilebo; dark sid
Ewok Elder; 22815; 30013; 36610; 22795; ; 23359; 22002; 25349; 24798; 36284; 24276; 20822; 19633; 27476; 27860; 34271; 28423; 28064; 25103; 23806; 23467; 30255; 26026; 23410; 21035; 26186; 31319; 25891; 19633; 23359; 25373; 25794; 25694; 26845; 42722; 31020; 28998; 22702; 20329; 26875; 27542; 25302; 20329; 23664; 23549; 28003; 32537; 24671; 24276
Ewok Scout; 15553; 16143; 15335; 5265; 477; 12894; 14478; 5597; 16587; 14861; 15558; 15040; 12141; 14443; 19715; 30568; 20086; 8439; 3787; 13849; 14138; 10475; 7109; 15452; 16445; 11090; 17001; 6109; 14985; 15895; 18611; 14985; 14243; 8158; 13507; 13765; 3175; 13834; 13813; 549; 13813; 3033; 549; 9639; 19933; 10455; 25685; 15817; 15558
First Order Executioner; 58892; 57125; 15028; 68747; ; 62459; 64915; 48784; 26874; 10267; 65788; 59558; 59294; 59610; 64304; 22743; 57516; 48784; 48784; 56582; 53662; 61058; 48784; 65278; 65940; 53068; 23319; 47637; 57291; 58540; 58065; 21996; 61819; 71728; 48784; 69151; 69569; 73496; 48784; 68690; 55317; 52241; 60429; 53419; ; 65735; 21996; 5090; 65788
First Order Officer; 62684; 58198; 20015; 56037; ; 54293; 71537; 68010; 16187; 11007; 55886; 57840; 65592; 60422; 54890; 20625; 70220; 54357; 52941; 60733; 53684; 66894; 67930; 68415; 57794; 58457; 20321; 58721; 52941; 52941; 61000; 15283; 65866; 52941; 52941; 58378; 57656; 55148; 62808; 59148; 62590; 67351; 63822; 58780; 12109; 60901; 12557; 525; 55886
First Order SF TIE Pilot; 43994; 67709; 16013; 48520; ; 48681; 42128; 47402; 19077; 8948; 51575; 47324; 49932; 47768; 48253; 14670; 44113; 47869; 47402; 50209; 47746; 49438; 52491; 46760; 47402; 54966; 11800; 24250; 48128; 53437; 48861; 14784; 47402; 43563; 50374; 49192; 47985; 49587; 47402; 47402; 43793; 52580; 42357; 47402; 13528; 50375; 14084; 24213; 51575
Geonosian Soldier; 18739; 52113; 47215; 19590; 4937; 39085; 47674; 18485; 46946; 51017; 18127; 19162; 23195; 22077; 22952; 48238; 30048; 18846; 41721; 17807; 47457; 46827; 49407; 19720; 18785; 18238; 47885; 18136; 17985; 18972; 28283; 50446; 29821; 42315; 39085; 38027; 16680; 18026; 21100; 21062; 18230; 20534; 18712; 47909; 42812; 30254; 47711; 26918; 18127
Hoth Rebel Scout; 15407; 17589; 11875; 12628; ; 11144; 18580; 14716; 16963; 11645; 16835; 10706; 16799; 15390; 23773; 14334; 18504; 12084; 494; 512; 13413; 11048; 12084; 16276; 16885; 512; 15773; 14311; 12084; 15262; 40726; 512; 13324; 10517; 11328; 13428; 15888; 12084; 11814; 12084; 512; 512; 12084; 20777; 11994; 22967; 25491; 14680; 16835
Hoth Rebel Soldier; 13353; 26379; 15410; 18297; 8171; 15616; 21291; 12653; 14043; 11505; 18081; 609; 16903; 23750; 23110; 19947; 23180; 12653; 609; 645; 17343; 8241; 15245; 20554; 13677; 3093; 21701; 645; 15245; 21006; 645; 18387; 19143; 22086; 7935; 24926; 14707; 6495; 11679; 16395; 645; 4335; 15245; 15895; 13699; 11807; 15702; 5595; 18081
IG-86 Sentinel Droid; 17792; 16415; 9773; 9742; 451; 11585; 18661; 5599; 15935; 13863; 15183; 4843; 12077; 13553; 58597; 14640; 12224; 8243; 3943; 5239; 3853; 6743; 2827; 12608; 12077; 4861; 9006; 5437; 5545; 18274; 12437; 12437; 13075; 11924; 7247; 13908; 1531; 4933; 10173; 523; 4249; 3331; 523; 8435; 10901; 11205; 487; 11951; 15183
Imperial Super Commando; 20019; 34183; 9885; 591; ; 663; 28808; 3453; 26041; 19738; 5829; 627; 14357; 17276; 25670; 63924; 24982; 645; ; 627; 17803; 13999; 13999; 8833; 26444; 10167; 55357; 627; 627; 22297; 663; 663; 645; 627; 681; 13581; 8619; 681; 16803; 663; 15879; 609; 645; 591; 591; 627; 627; 25544; 5829
Jawa; 12536; 22371; 18926; 50498; ; 37184; 43582; 6229; 23222; 18802; 47640; 434; 29661; 50662; 24076; 42234; 16727; 11704; 398; 452; 11811; 4341; 5690; 41012; 36323; 59866; 7522; 398; 452; 14393; 49045; 434; 11811; 416; 16470; 22589; 14818; 11977; 16881; 434; 44732; 398; 17688; 15812; 1982; 43506; 12032; 19114; 47640
Jedi Consular; 17099; 15513; 19226; 20324; 2768; 15016; 17787; 19295; 20285; 16293; 12599; 6908; 19203; 18802; 23261; 17452; 19985; 16360; 10454; 10601; 12887; 17217; 16573; 19905; 21925; 14178; 19424; 15286; 8675; 18851; 12887; 15925; 19783; 19626; 13661; 21277; 15172; 16116; 15675; 7340; 15625; 14639; 12923; 12887; 19145; 17877; 13661; 21769; 12599
Jedi Knight Guardian; 18027; 20710; 11975; 702; ; 15085; 20177; 10072; 19028; 19325; 5598; 5230; 9208; 21416; 35780; 11366; 22072; 702; 630; 9244; 7678; 7660; 2520; 25460; 16149; 2448; 11357; 7992; 3816; 702; 702; 16472; 16227; 702; 8830; 702; 702; 702; 14248; 702; 990; 3790; 702; 14312; 16382; 702; 630; 7084; 5598
Magmatrooper; 19099; 22331; 16275; 2348; ; 20478; 28708; 548; 20375; 24429; 22437; 3968; 18258; 25239; 27668; 22759; 25411; 620; ; 6812; 50650; 17072; 24904; 13120; 24022; 20227; 18359; 620; 12698; 26264; 18654; 19104; 18258; 19545; 14446; 17808; 566; 20860; 20610; 18925; 18852; 566; 620; 14778; 46909; 21099; 18168; 5310; 22437
Mob Enforcer; 705; 17549; 13671; 48677; ; 43165; 48161; 615; 19290; 10804; 57128; 705; 21089; 59204; 32672; 17387; 14007; 705; 46331; 705; 16555; 3729; 12369; 50927; 23834; 70466; 9272; 615; 705; 705; 46331; 705; 705; 705; 8679; 22769; 651; 14917; 22511; 705; 48275; 8283; 705; 16810; 1731; 46698; 11865; 5205; 57128
Nightsister Acolyte; 14635; 18217; 15156; ; ; 568; 24807; ; 17038; 13099; 19698; 532; 14736; 16137; 20534; 17856; 20622; 568; ; 532; 17911; 10652; ; 17423; 17064; 2742; 6971; 514; 514; 568; 19352; 568; 12193; ; 5245; 514; 514; 568; 16072; 568; 568; 514; 514; ; 41570; 17802; 5199; 532; 19698
Nightsister Spirit; 12190; 13584; 7447; 15778; ; 10544; 62222; 8109; 13389; 13769; 8491; 535; 14820; 10055; 10737; 12817; 14204; 14669; 16941; 9137; 13335; 9317; 12650; 53675; 10737; 535; 13108; 12611; 16115; 535; 535; 10827; 10737; 11574; 14861; 12579; 11521; 14921; 11081; 12505; 14271; 499; 10611; 15451; 7499; 17526; 10863; 535; 8491
Range Trooper; 25712; 31925; 8323; 17195; ; 758; 54638; 17317; 8095; 8909; 31542; 52733; 31033; 61873; 33746; 14586; 50817; 28327; 50143; 740; 30005; 2358; 52294; 48596; 16440; 16604; 9119; 740; 56096; 758; 24825; 758; 28941; 776; 740; 758; 54228; 61371; 24559; 9648; 56355; 686; 16260; 25364; ; 27268; 758; 740; 31542
Scarif Rebel Pathfinder; 724; 25519; 14136; 724; ; 15549; 29738; 7421; 16666; 17230; 18334; 724; 22640; 25146; 43684; 22759; 48716; 724; 634; 5998; 17523; 13054; 18780; 32583; 19426; 20290; 21341; 724; 706; 20460; 17392; 22640; 724; 724; 11620; 23386; 20922; 10490; 42833; 724; 26295; 652; 724; 23249; 14664; 20326; 21284; 34106; 18334
Shoretrooper; 34022; 23859; 10696; 22551; ; 660; 65008; 25471; 15851; 38094; 43921; 12978; 33571; 78616; 51472; 22456; 44143; 27959; 35884; 678; 19400; 660; 39940; 24179; 19922; 12360; 10796; 26089; 34386; 34538; 696; 678; 39052; 678; 678; 28872; 19931; 28823; 37424; 27533; 77807; 46501; 19226; 26866; 70626; 28848; 678; 44137; 43921
Sith Assassin; 13528; 29495; 50139; ; ; 13060; 49285; 6928; 14140; 35468; 55960; 8955; 15461; 39017; 25767; 16505; 17738; 495; ; 35269; 32695; 9927; 37757; 22093; 40328; 2817; 7449; 441; 477; 49359; 18795; 495; 11347; 477; 16961; 14774; 9207; 52053; 50797; 36946; 50712; 17514; 51708; 11503; 8145; 8145; 495; 14993; 55960
Sith Empire Trooper; 69302; 45592; 23644; 10269; ; 55939; 74509; 2983; 14461; 54502; 77717; 11425; 48049; 46200; 35834; 25514; 36196; 48486; ; 54290; 30342; 46371; 67969; 31183; 32894; 19671; 54661; 23050; 57735; 715; 56210; 78895; 17889; 58905; 60083; 50237; 24094; 63586; 56903; 41159; 63937; 44761; 63056; 22884; 53850; 37813; 715; 30245; 77717
Sith Marauder; 69610; 58447; 59341; 64803; ; 15655; 58288; 27040; 57688; 63390; 59467; 26681; 44623; 15978; 60788; 58429; 60595; 57799; 64876; 55229; 38470; 22018; 59217; 24152; 56592; 9159; 57763; 600; 54311; 72883; 55243; 56174; 61271; 41204; 58126; 64735; 66947; 59117; 63843; 57468; 55005; 26550; 62887; 62992; 68743; 60674; 52820; 56767; 59467
Snowtrooper; 18196; 25325; 16093; 16232; 515; 18114; 54616; 15705; 19404; 18474; 25314; 11513; 16029; 20764; 24361; 19195; 21319; 15705; 7499; 19524; 23015; 15849; 23314; 17174; 16425; 17085; 17712; 20856; 15705; 20295; 19676; 17055; 17815; 10867; 13115; 19070; 52690; 10964; 22511; 17537; 18504; 9523; 15705; 15705; 44356; 24745; 16425; 16425; 25314
TIE Fighter Pilot; 41219; 65307; 53840; 54198; ; 49015; 46801; 12707; 60719; 60103; 47856; 46820; 45915; 61308; 51760; 64703; 50892; 49591; 57640; 60595; 36327; 52277; 46571; 11993; 49726; 58591; 50135; 16646; 45915; 53424; 49667; 45915; 48372; 51079; 52740; 50322; 55387; 47816; 52647; 52309; 49624; 49682; 49572; 53302; 50176; 64539; 49205; 46844; 47856
Tusken Shaman; 12192; 19182; 22909; 9639; ; 559; 24569; 505; 25960; 15005; 29246; 16780; 18027; 20437; 31600; 42900; 20735; 12497; ; 7775; 24231; 559; 67546; 25098; 22048; 1927; 6861; 559; 14273; 27107; 15485; 559; 559; 559; 7901; 559; 559; 16636; 9577; 16057; 23398; 505; 13559; 77348; 19126; 505; 16059; 17889; 29246
Resistance Pilot; 13037; 16528; 11888; 64852; ; 45065; 41168; 44386; 13552; 13005; 45696; 49383; 44386; 49833; 54672; 16374; 17382; 51626; 5374; 48235; 44386; 48419; 44386; 40155; 45763; 58735; 12685; 61268; 44386; 64729; 46995; 40443; 47304; 44665; 44386; 14952; 51434; 48715; 10772; 53771; 43651; 45859; 44386; 44386; 10306; 48939; 9118; 16954; 45696
Resistance Trooper; 10222; 20086; 6801; 43182; ; 40880; 47869; 42809; 13665; 6526; 46279; 56645; 44338; 47529; 51853; 20824; 19979; 40880; ; 46549; 40880; 44555; 42144; 42011; 40880; 56885; 5892; 51392; 40880; 58498; 41538; 46048; 42493; 44397; 40880; 502; 47844; 43236; 11356; 42043; 45242; 42292; 40880; 43450; 1760; 44397; 538; 5092; 46279
Ugnaught; 10143; 13708; 8215; 3213; ; 499; 13670; 463; 14443; 7231; 3865; 499; 445; 9213; 13475; 13061; 4489; 5193; ; 481; 5193; 2895; 445; 7767; 13475; 499; 6750; 445; 481; 67474; 481; 499; 52954; 499; 4029; 12355; 4293; 50435; 8815; 5697; 5193; 5193; 5409; 445; 2139; 3429; ; 5849; 3865
